1	0	939.56536121
1	1	938.78306121
2	1	1876.1238224200001
3	1	2809.43198363
2	2	1877.56612242
3	2	2809.41338363
4	1	3751.9779554300003
4	2	3728.40114484
4	3	3751.29646605
5	1	4695.962776050001
5	2	4668.85655605
5	2	4668.85655605
5	3	4669.149256050001
5	3	4669.149256050001
6	1	5630.8281937500005
6	2	5606.5584772600005
6	3	5603.05071726
6	4	5607.338922260001
7	2	6546.568758470001
7	3	6535.366178470001
7	4	6536.22797847
7	5	6548.3263991700005
7	5	6548.3263991700005
7	5	6548.3263991700005
8	2	7483.550560680001
8	2	7483.550560680001
8	3	7472.897749680001
8	3	7472.897749680001
8	4	7456.894189680001
8	5	7474.873500680001
8	5	7474.873500680001
8	5	7474.873500680001
8	6	7487.04661278
9	2	8424.265113390002
9	3	8408.400569890002
9	3	8408.400569890002
9	3	8408.400569890002
9	4	8394.79429089
9	5	8395.862360890002
9	5	8395.862360890002
9	6	8412.360571890002
9	6	8412.360571890002
9	6	8412.360571890002
10	2	9363.750674600002
10	3	9348.3852621
10	4	9327.5473521
10	5	9326.991442100001
10	6	9330.639242100002
10	7	9354.6400121
11	3	10287.222816110001
11	3	10287.222816110001
11	3	10287.222816110001
11	4	10266.608837310001
11	4	10266.608837310001
11	5	10255.102713310001
11	6	10257.08496331
12	4	11203.005249520002
12	4	11203.005249520002
12	5	11191.297648520002
12	5	11191.297648520002
12	6	11177.928734520001
12	7	11195.266844520002
12	7	11195.266844520002
12	8	11209.99207912
13	4	12144.581245730002
13	5	12125.98510673
13	6	12112.54779573
13	7	12114.768325730001
13	8	12132.533590730001
14	4	13080.79926775
14	4	13080.79926775
14	4	13080.79926775
14	5	13064.580578140001
14	6	13043.93675694
14	7	13043.780256940001
14	8	13048.92336694
14	9	13074.52525794
15	5	14001.377840550002
15	6	13982.284098150001
15	7	13972.512418150001
15	8	13975.266468150001
15	9	13989.187931530001
15	10	14013.79742115
16	5	14941.044380360001
16	6	14917.59911536
16	7	14909.58700236
16	8	14899.167979360001
16	9	14914.585362360001
16	10	14927.89369916
17	5	15879.115354180001
17	5	15879.115354180001
17	6	15856.43565797
17	6	15856.43565797
17	7	15843.26985557
17	7	15843.26985557
17	8	15834.59002057
17	9	15837.35076057
17	10	15851.88429057
17	10	15851.88429057
17	10	15851.88429057
17	11	15870.57244157
18	5	16819.21590278
18	6	16791.81740178
18	6	16791.81740178
18	7	16780.01022178
18	7	16780.01022178
18	8	16766.110921780004
18	9	16767.76656178
18	10	16772.21224878
18	11	16792.211502780003
19	5	17757.75156399
19	6	17731.22057376
19	6	17731.22057376
19	7	17714.24757939
19	7	17714.24757939
19	8	17701.719391990002
19	9	17696.89975299
19	10	17700.13822299
19	11	17711.315774990002
19	12	17730.337460990002
20	6	18667.441344280003
20	6	18667.441344280003
20	7	18651.6477768
20	7	18651.6477768
20	8	18633.678136200004
20	9	18629.8638142
20	10	18622.839324200002
20	11	18636.726191200003
20	12	18647.451751200002
20	12	18647.451751200002
21	6	19607.33578841
21	7	19586.60727481
21	7	19586.60727481
21	8	19569.43699741
21	9	19561.32766741
21	10	19555.643585410002
21	11	19559.190915410003
21	12	19572.287001810004
21	12	19572.287001810004
21	13	19587.494583410004
22	6	20545.45325062
22	7	20524.950266210002
22	7	20524.950266210002
22	8	20502.15370352
22	9	20495.66315902
22	10	20484.84492662
22	11	20487.687106620004
22	12	20492.472532620002
22	13	20511.05327662
22	13	20511.05327662
22	13	20511.05327662
22	14	20525.03354662
22	14	20525.03354662
23	7	21462.099115830002
23	8	21438.97981805
23	8	21438.97981805
23	9	21427.692987330003
23	10	21419.20967783
23	11	21414.833887830002
23	12	21418.890694830003
23	13	21431.13063283
23	13	21431.13063283
23	14	21448.135603830004
24	7	22402.897972040002
24	8	22374.83199989
24	8	22374.83199989
24	9	22363.402034140003
24	10	22349.90995904
24	11	22347.43984904
24	12	22341.92404904
24	13	22355.802330040002
24	13	22355.802330040002
24	14	22366.612188540003
24	14	22366.612188540003
24	15	22387.85497204
25	8	23314.49590325
25	9	23298.61800695
25	9	23298.61800695
25	10	23285.292785550002
25	11	23277.994018250003
25	12	23274.158810250003
25	13	23278.43566025
25	14	23291.176840250002
25	14	23291.176840250002
25	15	23306.223726250002
26	8	24254.01001946
26	9	24237.13380386
26	10	24219.27544616
26	11	24211.94307706
26	12	24202.63107146
26	13	24206.63526146
26	14	24211.70086146
26	15	24229.81878746
26	15	24229.81878746
26	15	24229.81878746
26	16	24244.815889460002
27	9	25175.38969449
27	10	25157.43324397
27	10	25157.43324397
27	11	25144.75871447
27	11	25144.75871447
27	12	25135.75313267
27	13	25133.142732670003
27	14	25137.95463267
27	15	25149.58671767
27	15	25149.58671767
27	16	25167.846855670003
28	9	26115.060225880003
28	10	26093.11232512
28	10	26093.11232512
28	11	26080.80003818
28	11	26080.80003818
28	12	26066.81489388
28	13	26064.98309388
28	14	26060.340893880002
28	15	26074.672575880002
28	16	26085.90682988
28	16	26085.90682988
28	17	26108.39121688
29	9	27053.624353090003
29	10	27031.34840524
29	11	27015.946663990002
29	11	27015.946663990002
29	12	27002.66654649
29	13	26995.112263090003
29	14	26991.43265509
29	15	26996.37579509
29	16	27010.16892509
29	17	27026.470971090002
30	10	27967.058518640002
30	11	27953.4163297
30	11	27953.4163297
30	11	27953.4163297
30	11	27953.4163297
30	12	27935.9395694
30	13	27928.9494223
30	14	27920.388916300002
30	15	27924.621196300002
30	16	27930.759006300003
30	17	27949.2650323
30	18	27964.905134300003
31	10	28907.158801510002
31	11	28888.979713970002
